library,lib_version,torch,cuda,device,spec,batch_size,n_voxels,n_params,precision,ok,error,fwd_ms,fwd_ms_std,fwdbwd_ms,fwdbwd_ms_std,mem_fwd_mb,mem_fwdbwd_mb,mem_fwdbwd_reserved_mb,kvox_s
torchsparse,torchsparse 2.1.0,2.5.0+cu124,12.4,NVIDIA H200 NVL,large,2,7299,61061952,bf16,True,,14.472160339355469,0.01973157035291438,40.1351203918457,0.10904002427366391,589.552128,1696.615936,2283.798528,181.8118909989765
torchsparse,torchsparse 2.1.0,2.5.0+cu124,12.4,NVIDIA H200 NVL,large,4,18984,61061952,bf16,True,,42.9704475402832,0.23233304512645567,103.19926452636719,0.3026732605823161,790.713344,2593.831424,2984.247296,183.84775116696935
torchsparse,torchsparse 2.1.0,2.5.0+cu124,12.4,NVIDIA H200 NVL,large,8,30392,61061952,bf16,True,,61.69662284851074,0.07974995895391454,145.79169464111328,0.08441855690884704,949.321728,3356.141056,3726.639104,208.44335280607095
torchsparse,torchsparse 2.1.0,2.5.0+cu124,12.4,NVIDIA H200 NVL,large,16,56700,61061952,bf16,True,,102.31521606445312,0.2701287103687453,237.10916900634766,0.2973110908997862,1300.005376,5060.578304,5840.56832,239.20521906309926
warpconvnet,warpconvnet 1.7.11,2.5.0+cu124,12.4,NVIDIA H200 NVL,small,1,4690,1467216,bf16,True,,48.279184341430664,0.38463743942974793,83.05467224121094,0.17078165167711926,83.43296,86.984704,104.8576,56.44070961553424
warpconvnet,warpconvnet 1.7.11,2.5.0+cu124,12.4,NVIDIA H200 NVL,small,2,7299,1467216,bf16,True,,53.82246398925781,0.1887508666418444,90.46079635620117,0.44174986611806827,85.267456,90.854912,111.149056,80.7160396520762
warpconvnet,warpconvnet 1.7.11,2.5.0+cu124,12.4,NVIDIA H200 NVL,small,4,18984,1467216,bf16,True,,53.51323318481445,0.09661914949415724,90.44947052001953,0.3146181943744445,97.289728,115.736064,119.537664,209.85727269561
warpconvnet,warpconvnet 1.7.11,2.5.0+cu124,12.4,NVIDIA H200 NVL,small,8,30392,1467216,bf16,True,,53.475969314575195,0.1948171511329655,90.07699203491211,0.2559558990301179,106.21184,136.383488,155.189248,337.4802371670979
warpconvnet,warpconvnet 1.7.11,2.5.0+cu124,12.4,NVIDIA H200 NVL,small,16,56700,1467216,bf16,True,,53.08839988708496,0.1178833416753661,89.84657669067383,0.26646989222707324,127.232512,182.12352,192.937984,631.3536050140051
warpconvnet,warpconvnet 1.7.11,2.5.0+cu124,12.4,NVIDIA H200 NVL,medium,1,4690,10567200,bf16,True,,57.55204772949219,0.10143088314168149,116.964111328125,0.32248597656187705,160.260608,168.627712,203.423744,40.14116935867029
warpconvnet,warpconvnet 1.7.11,2.5.0+cu124,12.4,NVIDIA H200 NVL,medium,2,7299,10567200,bf16,True,,65.56473541259766,0.17059621872895334,125.95539093017578,0.4315182482886047,162.732032,177.35168,216.006656,57.942377196676404
warpconvnet,warpconvnet 1.7.11,2.5.0+cu124,12.4,NVIDIA H200 NVL,medium,4,18984,10567200,bf16,True,,65.20956802368164,0.3461195964527709,125.42057800292969,0.5131089950356525,180.255744,236.163072,255.852544,151.23380117426788
warpconvnet,warpconvnet 1.7.11,2.5.0+cu124,12.4,NVIDIA H200 NVL,medium,8,30392,10567200,bf16,True,,64.94976043701172,0.11892622321742942,125.57177734375,0.3382001670321364,194.939392,285.569024,320.864256,242.1078676021075
warpconvnet,warpconvnet 1.7.11,2.5.0+cu124,12.4,NVIDIA H200 NVL,medium,16,56700,10567200,bf16,True,,65.77334594726562,0.07488481148467449,128.2548599243164,0.14711616115916604,224.107008,396.609024,425.721856,442.1319331285617
warpconvnet,warpconvnet 1.7.11,2.5.0+cu124,12.4,NVIDIA H200 NVL,large,1,4690,61061952,bf16,True,,65.9544792175293,0.1206043433138705,146.86074829101562,0.27821083276043684,593.307648,601.048576,660.60288,31.949980471733173
warpconvnet,warpconvnet 1.7.11,2.5.0+cu124,12.4,NVIDIA H200 NVL,large,2,7299,61061952,bf16,True,,76.87141036987305,0.09724064706764507,160.33513641357422,0.429361876692156,598.03648,624.191488,694.157312,45.54430612923357
warpconvnet,warpconvnet 1.7.11,2.5.0+cu124,12.4,NVIDIA H200 NVL,large,4,18984,61061952,bf16,True,,77.61865615844727,0.06252416671657002,163.40148162841797,0.36110671580939935,622.260736,741.765632,805.306368,116.15849104211615
warpconvnet,warpconvnet 1.7.11,2.5.0+cu124,12.4,NVIDIA H200 NVL,large,8,30392,61061952,bf16,True,,78.31531143188477,0.0685093162689056,170.32097625732422,0.18105288110517986,645.200896,842.184704,1033.895936,178.3936651666116
warpconvnet,warpconvnet 1.7.11,2.5.0+cu124,12.4,NVIDIA H200 NVL,large,16,56700,61061952,bf16,True,,81.01286315917969,0.08785827533519107,185.90528106689453,0.731463986991009,686.142976,1116.493824,1377.828864,304.7486453316959
