library,lib_version,torch,cuda,device,spec,batch_size,n_voxels,n_params,precision,ok,error,fwd_ms,fwd_ms_std,fwdbwd_ms,fwdbwd_ms_std,mem_fwd_mb,mem_fwdbwd_mb,mem_fwdbwd_reserved_mb,kvox_s
torchsparse,torchsparse 2.1.0,2.5.0+cu124,12.4,NVIDIA A100-SXM4-40GB,small,1,4690,1467216,bf16,True,,2.2635520696640015,0.0156775636627802,4.753920078277588,0.47388834607463315,37.161984,110.548992,127.926272,953.5869472902062
torchsparse,torchsparse 2.1.0,2.5.0+cu124,12.4,NVIDIA A100-SXM4-40GB,small,2,7299,1467216,bf16,True,,2.2051841020584106,0.014553953765060197,4.715519905090332,0.5612997115987036,49.473024,134.88896,165.675008,1510.5066226204535
torchsparse,torchsparse 2.1.0,2.5.0+cu124,12.4,NVIDIA A100-SXM4-40GB,small,4,18984,1467216,bf16,True,,2.6798079013824463,0.0341391266125342,6.663680076599121,0.044666521286432906,137.406976,295.958016,354.418688,2843.5453196273293
torchsparse,torchsparse 2.1.0,2.5.0+cu124,12.4,NVIDIA A100-SXM4-40GB,small,8,30392,1467216,bf16,True,,3.4872320890426636,0.0097286344535705,8.8340482711792,0.03732100807459106,200.496128,413.54752,528.482304,3435.6526824657276
torchsparse,torchsparse 2.1.0,2.5.0+cu124,12.4,NVIDIA A100-SXM4-40GB,small,16,56700,1467216,bf16,True,,5.233151912689209,0.031151774365336112,13.924864292144775,0.04770006258168761,344.295936,710.749696,811.597824,4069.339367871603
torchsparse,torchsparse 2.1.0,2.5.0+cu124,12.4,NVIDIA A100-SXM4-40GB,medium,1,4690,10567200,bf16,True,,5.1174399852752686,0.03751264189851299,12.791296005249023,0.06513398717429034,122.304512,399.684608,650.11712,366.1309197251048
torchsparse,torchsparse 2.1.0,2.5.0+cu124,12.4,NVIDIA A100-SXM4-40GB,medium,2,7299,10567200,bf16,True,,5.389311790466309,0.03276788766143704,14.188543796539307,0.04518430419947265,139.486208,450.322432,505.413632,514.3462060127431
torchsparse,torchsparse 2.1.0,2.5.0+cu124,12.4,NVIDIA A100-SXM4-40GB,medium,4,18984,10567200,bf16,True,,11.068416118621826,0.024480084374254828,30.218239784240723,0.08343354808522972,269.868032,858.337792,970.981376,627.9780253067407
torchsparse,torchsparse 2.1.0,2.5.0+cu124,12.4,NVIDIA A100-SXM4-40GB,medium,8,30392,10567200,bf16,True,,15.887872219085693,0.06050481054308804,42.56307029724121,0.08547186971922814,362.993152,1149.542912,1337.982976,713.607265589725
torchsparse,torchsparse 2.1.0,2.5.0+cu124,12.4,NVIDIA A100-SXM4-40GB,medium,16,56700,10567200,bf16,True,,27.084800720214844,0.021460610144394335,70.02573013305664,0.1184616327748784,577.67168,1828.374528,2139.09504,809.1640262302103
torchsparse,torchsparse 2.1.0,2.5.0+cu124,12.4,NVIDIA A100-SXM4-40GB,large,1,4690,61061952,bf16,True,,15.550463676452637,0.059234182251272555,48.96972846984863,0.15332330346206197,554.98752,1574.964224,2300.575744,95.65597293561508
torchsparse,torchsparse 2.1.0,2.5.0+cu124,12.4,NVIDIA A100-SXM4-40GB,large,2,7299,61061952,bf16,True,,20.06425666809082,0.05150755170894181,60.30438423156738,0.1694366057219469,589.552128,1696.615936,2283.798528,120.94499681817518
torchsparse,torchsparse 2.1.0,2.5.0+cu124,12.4,NVIDIA A100-SXM4-40GB,large,4,18984,61061952,bf16,True,,54.07232093811035,0.06310679136183409,148.29568481445312,0.16459555062801826,790.713344,2593.831424,2984.247296,127.9888003198247
torchsparse,torchsparse 2.1.0,2.5.0+cu124,12.4,NVIDIA A100-SXM4-40GB,large,8,30392,61061952,bf16,True,,80.06707382202148,0.19471522411830564,211.61932373046875,0.14392810285186283,949.321728,3356.141056,3726.639104,143.59851369823465
torchsparse,torchsparse 2.1.0,2.5.0+cu124,12.4,NVIDIA A100-SXM4-40GB,large,16,56700,61061952,bf16,True,,140.91417694091797,0.04294477941997204,352.16845703125,0.14725274408900887,1300.005376,5060.578304,5840.56832,160.9830101025342
warpconvnet,warpconvnet 1.7.11,2.5.0+cu124,12.4,NVIDIA A100-SXM4-40GB,small,1,4690,1467216,bf16,True,,11.035135746002197,0.06347855053006263,14.956543922424316,0.07210813307187093,26.908672,31.037952,39.845888,313.1920058958318
warpconvnet,warpconvnet 1.7.11,2.5.0+cu124,12.4,NVIDIA A100-SXM4-40GB,small,2,7299,1467216,bf16,True,,12.076031684875488,0.19009634398219621,16.291839599609375,0.5595414199363676,29.877248,35.838464,46.137344,444.1197608489379
warpconvnet,warpconvnet 1.7.11,2.5.0+cu124,12.4,NVIDIA A100-SXM4-40GB,small,4,18984,1467216,bf16,True,,12.661759853363037,0.3579999457802365,16.7956485748291,0.06468130398144682,48.005632,66.03008,73.40032,1128.895623281231
warpconvnet,warpconvnet 1.7.11,2.5.0+cu124,12.4,NVIDIA A100-SXM4-40GB,small,8,30392,1467216,bf16,True,,12.778496265411377,0.6560193254405111,17.12230396270752,0.11692808024291981,65.29792,93.078528,100.663296,1778.078576479652
warpconvnet,warpconvnet 1.7.11,2.5.0+cu124,12.4,NVIDIA A100-SXM4-40GB,small,16,56700,1467216,bf16,True,,13.502463817596436,0.2130317723196748,18.04646396636963,0.7854804968720875,99.16416,147.6864,165.675008,3116.0106231736218
warpconvnet,warpconvnet 1.7.11,2.5.0+cu124,12.4,NVIDIA A100-SXM4-40GB,medium,1,4690,10567200,bf16,True,,16.689663887023926,0.11276960396581895,23.122431755065918,0.3791048998262357,112.117248,123.408896,159.383552,202.27227604661334
warpconvnet,warpconvnet 1.7.11,2.5.0+cu124,12.4,NVIDIA A100-SXM4-40GB,medium,2,7299,10567200,bf16,True,,18.078720092773438,0.08512145471625931,25.035776138305664,0.2263268225843979,115.636736,132.773888,171.966464,290.308680377307
warpconvnet,warpconvnet 1.7.11,2.5.0+cu124,12.4,NVIDIA A100-SXM4-40GB,medium,4,18984,10567200,bf16,True,,18.79910373687744,0.3333816585750155,25.863679885864258,0.31290383701956836,142.211584,193.653248,211.812352,730.0376419892245
warpconvnet,warpconvnet 1.7.11,2.5.0+cu124,12.4,NVIDIA A100-SXM4-40GB,medium,8,30392,10567200,bf16,True,,18.981375694274902,0.07353802067683714,26.95475196838379,0.4360741835462603,159.409152,247.617536,308.281344,1126.429397077625
warpconvnet,warpconvnet 1.7.11,2.5.0+cu124,12.4,NVIDIA A100-SXM4-40GB,medium,16,56700,10567200,bf16,True,,19.709952354431152,0.5159466542122482,28.96895980834961,0.3959322901765698,202.124288,365.56032,400.556032,1944.753759955363
warpconvnet,warpconvnet 1.7.11,2.5.0+cu124,12.4,NVIDIA A100-SXM4-40GB,large,1,4690,61061952,bf16,True,,22.15167999267578,0.26595437631164986,33.18272018432617,0.23700134021157265,544.293376,550.560256,599.785472,141.36901891612598
warpconvnet,warpconvnet 1.7.11,2.5.0+cu124,12.4,NVIDIA A100-SXM4-40GB,large,2,7299,61061952,bf16,True,,23.979008674621582,0.13388316165131708,35.566593170166016,0.4617105038342907,550.164992,570.376704,627.048448,204.50763921738903
warpconvnet,warpconvnet 1.7.11,2.5.0+cu124,12.4,NVIDIA A100-SXM4-40GB,large,4,18984,61061952,bf16,True,,25.249792098999023,0.13406696125410247,41.43564796447754,0.2582435252118907,581.495808,678.35392,769.654784,457.14134372249106
warpconvnet,warpconvnet 1.7.11,2.5.0+cu124,12.4,NVIDIA A100-SXM4-40GB,large,8,30392,61061952,bf16,True,,26.523136138916016,0.447464794269094,45.477888107299805,0.1447035002299016,604.81024,780.360192,926.941184,667.5373007941386
warpconvnet,warpconvnet 1.7.11,2.5.0+cu124,12.4,NVIDIA A100-SXM4-40GB,large,16,56700,61061952,bf16,True,,29.28998374938965,0.41880090752552945,56.202239990234375,0.12421962693082662,659.128832,1062.03392,1340.080128,1009.1023438493488
